/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', 'right', None, None)
 -- left : 0.00

('right', 'red', None, 'left', None)
 -- forward : -9.48
 -- right : 1.32
 -- None : 1.15
 -- left : -10.37

('forward', 'green', 'forward', 'forward', 'left')
 -- forward : 1.98
 -- right : 0.00
 -- None : 0.24
 -- left : 0.00

('left', 'green', None, 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : -3.26
 -- left : 0.00

('right', 'red', 'forward', 'left', None)
 -- forward : -34.60
 -- right : 0.00
 -- None : 1.91
 -- left : -35.49

('left', 'red', None, 'right', 'forward')
 -- forward : 0.00
 -- right : 0.64
 -- None : 2.02
 -- left : -5.47

('right', 'green', 'right', 'left', 'forward')
 -- forward : 0.39
 -- right : 0.00
 -- None : -2.14
 -- left : 0.00

('right', 'green', None, 'left', 'left')
 -- forward : 0.99
 -- right : 2.15
 -- None : 0.32
 -- left : 0.88

('right', 'red', 'forward', 'forward', 'right')
 -- forward : -19.66
 -- right : -14.89
 -- None : 1.85
 -- left : -19.51

('forward', 'red', 'left', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 2.27
 -- left : 0.00

('forward', 'green', 'forward', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.56
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', None, 'forward')
 -- forward : -9.91
 -- right : 0.94
 -- None : 2.30
 -- left : -9.31

('forward', 'green', None, 'left', 'right')
 -- forward : 1.43
 -- right : 0.39
 -- None : -5.11
 -- left : 0.00

('forward', 'green', 'forward', 'right', 'left')
 -- forward : 0.00
 -- right : 0.82
 -- None : 0.00
 -- left : 0.97

('right', 'red', 'right', 'forward', None)
 -- forward : 0.00
 -- right : 1.03
 -- None : 0.00
 -- left : -20.30

('left', 'red', None, 'left', 'forward')
 -- forward : -4.54
 -- right : 0.25
 -- None : 1.86
 -- left : -8.53

('forward', 'green', None, 'forward', 'forward')
 -- forward : 1.55
 -- right : 0.48
 -- None : -4.29
 -- left : 0.00

('forward', 'green', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.06
 -- left : 0.00

('right', 'green', None, 'right', 'left')
 -- forward : 0.00
 -- right : 1.69
 -- None : 0.73
 -- left : 0.61

('forward', 'green', None, None, 'right')
 -- forward : 2.02
 -- right : 0.40
 -- None : -4.95
 -- left : -19.80

('left', 'green', None, 'left', 'right')
 -- forward : -0.09
 -- right : 0.50
 -- None : 0.00
 -- left : -10.13

('left', 'red', 'left', 'forward', None)
 -- forward : -29.66
 -- right : 1.14
 -- None : 0.00
 -- left : -38.52

('right', 'red', 'right', 'right', None)
 -- forward : -5.04
 -- right : 1.18
 -- None : 0.00
 -- left : -8.04

('forward', 'red', 'forward', 'right', None)
 -- forward : -20.21
 -- right : -10.00
 -- None : 2.14
 -- left : -30.23

('forward', 'green', 'left', 'left', 'right')
 -- forward : 0.00
 -- right : 1.24
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'forward', None, 'left')
 -- forward : 1.49
 -- right : 0.56
 -- None : 0.82
 -- left : 0.79

('forward', 'red', None, 'right', 'right')
 -- forward : 0.00
 -- right : 0.82
 -- None : 0.00
 -- left : -20.18

('left', 'red', None, 'right', 'left')
 -- forward : -9.25
 -- right : 0.25
 -- None : 1.48
 -- left : -8.85

('forward', 'red', 'forward', 'right', 'left')
 -- forward : 0.00
 -- right : -9.87
 -- None : 1.65
 -- left : 0.00

('forward', 'green', 'forward', None, 'right')
 -- forward : 1.28
 -- right : -0.04
 -- None : 0.00
 -- left : 0.00

('left', 'green', None, None, 'left')
 -- forward : -0.26
 -- right : 0.94
 -- None : 0.34
 -- left : 1.93

('forward', 'green', 'right', 'left', 'forward')
 -- forward : 1.77
 -- right : 0.00
 -- None : -2.42
 -- left : 0.00

('right', 'green', 'right', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.61

('left', 'red', 'left', 'left', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.92
 -- left : 0.00

('right', 'red', 'right', None, 'forward')
 -- forward : -7.48
 -- right : 2.22
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'left', 'left', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.10
 -- left : -9.22

('forward', 'green', 'left', 'forward', 'right')
 -- forward : 1.34
 -- right : 0.00
 -- None : -3.87
 -- left : -10.31

('left', 'green', None, 'right', 'left')
 -- forward : 0.83
 -- right : 0.68
 -- None : 1.19
 -- left : 2.24

('right', 'red', None, None, 'forward')
 -- forward : -9.24
 -- right : 1.26
 -- None : 1.16
 -- left : -10.22

('left', 'red', 'right', 'forward', None)
 -- forward : 0.00
 -- right : 0.61
 -- None : 0.00
 -- left : -19.80

('forward', 'green', 'right', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.26
 -- left : 0.00

('left', 'red', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.19
 -- left : 0.00

('right', 'red', None, None, 'right')
 -- forward : -9.73
 -- right : 1.05
 -- None : 2.44
 -- left : -39.55

('forward', 'red', None, 'forward', 'right')
 -- forward : 0.00
 -- right : 0.84
 -- None : 1.79
 -- left : -20.11

('right', 'green', 'forward', 'right', 'right')
 -- forward : 0.00
 -- right : 0.99
 -- None : -2.22
 -- left : -10.47

('right', 'red', 'right', 'left', 'right')
 -- forward : -4.97
 -- right : 0.00
 -- None : 0.00
 -- left : -20.04

('forward', 'green', None, 'left', 'left')
 -- forward : 1.97
 -- right : 0.11
 -- None : 0.63
 -- left : -0.01

('left', 'green', None, 'right', None)
 -- forward : 0.00
 -- right : 0.47
 -- None : -4.44
 -- left : 1.95

('forward', 'green', 'left', 'forward', 'left')
 -- forward : 1.80
 -- right : 1.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'right', 'left', None)
 -- forward : 0.00
 -- right : 0.26
 -- None : 1.92
 -- left : -5.19

('left', 'red', 'forward', 'left', None)
 -- forward : -38.90
 -- right : -18.75
 -- None : 2.03
 -- left : -35.66

('right', 'red', 'forward', 'forward', None)
 -- forward : -20.43
 -- right : -18.66
 -- None : 1.73
 -- left : -34.74

('forward', 'green', 'left', 'right', 'left')
 -- forward : 1.35
 -- right : 0.46
 -- None : 0.95
 -- left : 0.38

('right', 'green', 'forward', 'left', None)
 -- forward : 0.84
 -- right : 1.65
 -- None : -4.89
 -- left : 1.00

('forward', 'red', 'right', None, 'forward')
 -- forward : -6.93
 -- right : 0.51
 -- None : 1.46
 -- left : -7.61

('forward', 'green', None, 'forward', 'left')
 -- forward : 1.55
 -- right : 1.00
 -- None : 0.72
 -- left : 0.39

('right', 'red', 'right', 'right', 'forward')
 -- forward : -5.21
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'left', 'left')
 -- forward : -19.75
 -- right : -9.92
 -- None : 1.27
 -- left : -20.02

('forward', 'red', 'left', None, 'left')
 -- forward : -9.42
 -- right : 0.54
 -- None : 1.25
 -- left : -9.85

('left', 'green', None, None, 'right')
 -- forward : 0.43
 -- right : 0.59
 -- None : 0.00
 -- left : -19.67

('left', 'green', 'left', 'forward', 'right')
 -- forward : -0.07
 -- right : 0.92
 -- None : 0.00
 -- left : -10.33

('left', 'red', None, 'right', 'right')
 -- forward : -4.55
 -- right : 0.61
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'right', None, None)
 -- forward : 0.22
 -- right : 1.58
 -- None : -4.95
 -- left : 0.74

('left', 'green', 'right', 'forward', 'left')
 -- forward : -0.14
 -- right : 0.32
 -- None : 1.10
 -- left : 0.00

('right', 'green', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- right : 1.73
 -- None : -2.89
 -- left : 0.00

('right', 'green', 'right', None, 'right')
 -- forward : 0.48
 -- right : 0.00
 -- None : 0.00
 -- left : -9.74

('right', 'green', None, 'forward', 'right')
 -- forward : -0.07
 -- right : 1.36
 -- None : -2.43
 -- left : -17.19

('right', 'green', None, 'forward', None)
 -- forward : 0.82
 -- right : 2.33
 -- None : -4.09
 -- left : 0.20

('left', 'green', 'left', 'left', 'forward')
 -- forward : 0.70
 -- right : 0.48
 -- None : 0.00
 -- left : -9.92

('left', 'red', 'left', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 2.20
 -- left : -7.88

('right', 'green', 'left', None, 'right')
 -- forward : 0.37
 -- right : 1.74
 -- None : -2.00
 -- left : -15.03

('forward', 'green', 'right', 'right', None)
 -- forward : 0.48
 -- right : 0.71
 -- None : 0.00
 -- left : 0.09

('forward', 'green', 'forward', 'right', 'right')
 -- forward : 1.27
 -- right : 0.48
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'left', 'forward', 'forward')
 -- forward : -19.85
 -- right : 0.00
 -- None : 1.75
 -- left : 0.00

('left', 'green', 'forward', 'left', 'left')
 -- forward : 0.68
 -- right : 0.77
 -- None : 1.14
 -- left : 0.79

('left', 'green', 'left', 'left', None)
 -- forward : 0.50
 -- right : 0.36
 -- None : -4.23
 -- left : 2.23

('right', 'green', None, 'left', 'forward')
 -- forward : 0.68
 -- right : 1.86
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'forward', 'right', None)
 -- forward : 0.00
 -- right : 1.31
 -- None : 0.00
 -- left : 0.00

('forward', 'red', None, 'left', 'right')
 -- forward : -4.96
 -- right : -0.06
 -- None : 1.67
 -- left : 0.00

('left', 'red', None, 'left', None)
 -- forward : -9.86
 -- right : 0.52
 -- None : 2.29
 -- left : -10.13

('forward', 'red', None, None, 'right')
 -- forward : -8.11
 -- right : 0.63
 -- None : 1.95
 -- left : -39.93

('right', 'green', 'right', 'left', 'left')
 -- forward : 0.53
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- right : 1.93
 -- None : 0.00
 -- left : 0.00

('forward', 'red', None, None, None)
 -- forward : -9.65
 -- right : 0.65
 -- None : 2.10
 -- left : -9.65

('forward', 'red', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.30
 -- None : 1.97
 -- left : 0.00

('right', 'green', 'left', 'left', None)
 -- forward : 0.72
 -- right : 2.33
 -- None : -4.27
 -- left : 0.00

('left', 'green', None, 'forward', 'left')
 -- forward : 0.66
 -- right : 0.91
 -- None : 0.74
 -- left : 2.38

('right', 'red', 'left', 'left', None)
 -- forward : -9.46
 -- right : 0.78
 -- None : 1.44
 -- left : -4.75

('forward', 'red', 'left', 'forward', 'right')
 -- forward : -19.67
 -- right : 0.00
 -- None : 0.00
 -- left : -20.45

('left', 'red', 'left', 'right', 'forward')
 -- forward : -5.02
 -- right : 0.65
 -- None : 0.00
 -- left : -5.45

('right', 'green', 'left', 'right', None)
 -- forward : 0.00
 -- right : 1.98
 -- None : -2.73
 -- left : 0.33

('left', 'red', 'forward', None, None)
 -- forward : -39.65
 -- right : -20.13
 -- None : 1.83
 -- left : -39.98

('right', 'red', 'left', None, None)
 -- forward : -9.58
 -- right : 1.88
 -- None : 1.53
 -- left : -7.72

('left', 'red', 'forward', None, 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 2.01
 -- left : 0.00

('left', 'green', 'right', None, 'right')
 -- forward : 0.00
 -- right : 0.67
 -- None : 0.00
 -- left : -10.01

('left', 'green', 'right', 'left', 'right')
 -- forward : 0.94
 -- right : 0.00
 -- None : 0.00
 -- left : -10.24

('right', 'red', None, 'left', 'forward')
 -- forward : -5.33
 -- right : 1.20
 -- None : 1.78
 -- left : -7.68

('left', 'green', 'right', 'left', None)
 -- forward : 0.48
 -- right : 0.00
 -- None : -2.60
 -- left : 1.51

('left', 'red', None, None, 'left')
 -- forward : -10.32
 -- right : 0.48
 -- None : 2.12
 -- left : -10.13

('forward', 'green', 'right', None, 'right')
 -- forward : 1.91
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', 'left', None, 'forward')
 -- forward : -8.62
 -- right : 0.29
 -- None : 1.94
 -- left : -9.25

('left', 'red', None, 'forward', 'left')
 -- forward : -39.23
 -- right : -0.13
 -- None : 1.16
 -- left : -29.34

('right', 'green', 'forward', 'left', 'right')
 -- forward : 0.84
 -- right : 0.00
 -- None : -2.45
 -- left : -9.50

('left', 'green', None, None, 'forward')
 -- forward : 0.28
 -- right : 0.63
 -- None : -5.44
 -- left : -20.33

('left', 'green', 'left', None, 'right')
 -- forward : 0.00
 -- right : 0.38
 -- None : -2.24
 -- left : 0.00

('right', 'red', None, None, None)
 -- forward : -10.01
 -- right : 2.50
 -- None : 1.59
 -- left : -10.57

('forward', 'red', 'right', None, 'right')
 -- forward : -7.95
 -- right : 0.53
 -- None : 0.00
 -- left : -20.03

('left', 'green', 'forward', 'right', None)
 -- forward : 1.18
 -- right : 0.00
 -- None : -2.45
 -- left : 0.00

('left', 'red', 'left', 'right', None)
 -- forward : -5.27
 -- right : 0.52
 -- None : 0.00
 -- left : -4.94

('left', 'red', 'left', 'forward', 'left')
 -- forward : -19.63
 -- right : 0.86
 -- None : 1.77
 -- left : 0.00

('left', 'red', 'right', None, 'left')
 -- forward : 0.00
 -- right : 0.79
 -- None : 1.18
 -- left : -7.16

('left', 'green', 'left', 'left', 'left')
 -- forward : 0.52
 -- right : 0.40
 -- None : 0.31
 -- left : 2.16

('left', 'green', 'forward', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 1.25

('right', 'green', 'forward', 'right', 'forward')
 -- forward : 0.76
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'left', 'right', 'forward')
 -- forward : 1.37
 -- right : 0.00
 -- None : -3.86
 -- left : 0.00

('forward', 'red', 'left', 'left', 'left')
 -- forward : -5.38
 -- right : 0.00
 -- None : 2.47
 -- left : 0.00

('right', 'green', 'forward', None, 'right')
 -- forward : 0.00
 -- right : 1.23
 -- None : -4.24
 -- left : -9.63

('forward', 'green', 'right', 'left', None)
 -- forward : 1.58
 -- right : 0.00
 -- None : -4.54
 -- left : 0.00

('right', 'green', None, None, 'left')
 -- forward : 0.34
 -- right : 2.42
 -- None : 1.35
 -- left : 0.59

('right', 'red', None, 'forward', 'right')
 -- forward : -19.70
 -- right : 1.57
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'forward', None, None)
 -- forward : 1.03
 -- right : 1.51
 -- None : -5.05
 -- left : 0.92

('forward', 'red', 'left', 'right', 'forward')
 -- forward : 0.00
 -- right : 1.53
 -- None : 0.42
 -- left : -4.76

('left', 'red', 'right', 'left', 'forward')
 -- forward : -5.47
 -- right : -0.16
 -- None : 1.88
 -- left : 0.00

('right', 'red', None, 'right', 'forward')
 -- forward : -4.63
 -- right : 1.08
 -- None : 0.00
 -- left : -8.31

('forward', 'red', 'forward', None, None)
 -- forward : -39.11
 -- right : -19.91
 -- None : 1.48
 -- left : -39.50

('forward', 'green', 'forward', 'forward', None)
 -- forward : 1.83
 -- right : 1.00
 -- None : -5.27
 -- left : 0.75

('left', 'green', 'forward', None, 'forward')
 -- forward : 0.89
 -- right : 0.23
 -- None : -3.61
 -- left : -15.43

('left', 'red', 'left', 'left', 'right')
 -- forward : 0.00
 -- right : 1.01
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'right', 'forward', None)
 -- forward : 0.00
 -- right : 1.16
 -- None : 0.00
 -- left : 0.11

('forward', 'red', 'forward', None, 'left')
 -- forward : -38.45
 -- right : -10.27
 -- None : 1.96
 -- left : -39.90

('left', 'green', 'forward', 'forward', 'right')
 -- forward : 0.19
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'forward', 'forward', None)
 -- forward : 1.11
 -- right : 1.98
 -- None : -2.01
 -- left : 0.80

('right', 'red', 'left', 'forward', 'left')
 -- forward : -19.51
 -- right : 1.12
 -- None : 0.00
 -- left : 0.00

('forward', 'green', None, 'forward', None)
 -- forward : 1.89
 -- right : 1.15
 -- None : -5.24
 -- left : 0.93

('forward', 'green', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- right : 1.26
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'right', 'left', 'left')
 -- forward : -7.93
 -- right : 0.00
 -- None : 1.08
 -- left : -7.64

('forward', 'red', None, 'left', None)
 -- forward : -9.74
 -- right : 0.56
 -- None : 1.73
 -- left : -9.63

('left', 'red', None, 'left', 'right')
 -- forward : 0.00
 -- right : 0.21
 -- None : 1.65
 -- left : 0.00

('forward', 'green', 'left', 'left', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.70
 -- left : 0.97

('forward', 'green', None, 'left', 'forward')
 -- forward : 0.00
 -- right : 1.30
 -- None : -4.00
 -- left : 0.00

('forward', 'green', 'left', None, None)
 -- forward : 1.85
 -- right : 0.69
 -- None : -4.48
 -- left : 0.48

('right', 'red', 'left', 'forward', None)
 -- forward : -19.80
 -- right : 1.71
 -- None : 0.63
 -- left : -19.90

('right', 'red', 'right', None, 'right')
 -- forward : -4.92
 -- right : 0.41
 -- None : 1.81
 -- left : 0.00

('forward', 'green', 'left', 'forward', None)
 -- forward : 2.19
 -- right : 0.51
 -- None : -4.53
 -- left : 0.36

('left', 'red', 'forward', 'forward', 'left')
 -- forward : -20.20
 -- right : -10.43
 -- None : 1.02
 -- left : 0.00

('right', 'green', 'left', 'right', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : -2.83
 -- left : -9.56

